,mid,name,sex,level,sign,official,birthday,roomid,fans,guards,status,archiveView,liveCount,maxPopularity,participant,danmaku,income,goldUser,danmutop20
10890,5223023,超科学酱酱,2,6,一只吃饭都能睡着的广东仓鼠丨直播时间：工作日22:00 周末随机掉落,0,,663357,448,0,0,1170,0,0,0,0,0,0,{}
10891,327241460,火锅泡面甜甜圈,1,5,"晚安
如有侵权，联系我我会立即删除
催更或者有想看的视频可在视频下面评论～",0,8月7日,22363862,4384,0,1,1734422,0,0,0,0,0,0,{}
10892,1630341881,火花良,2,4,"《说唱新世代》《八英里》《中国新说唱》《说唱巅峰对决》等等这些节目,我都看过",0,3月23日,25185454,1522,0,0,74592,0,0,0,0,0,0,{}
10893,564564931,雨神水利,1,3,"专注培训一级，二级水利建造师
2022年一级水利建造师拿证群465031559",0,6月29日,23674592,121,0,1,1776,0,0,0,0,0,0,{}
10894,309412872,柒咪Official,2,5,是可爱猫猫??,0,,22499735,1567,0,0,3930,0,0,0,0,0,0,{}
10895,30493681,裟椤小兔叽,2,5,,0,,3317589,23,0,0,0,0,0,0,0,0,0,{}
10896,588688768,叫咱雪幻,0,5,新人驾到，请多指教,0,5月23日,25149496,107,0,0,22831,0,0,0,0,0,0,{}
10897,429502211,初眠kiri,2,5,如果以后再也见不到你，祝你早安，午安，晚安,1,12月25日,21461947,14607,26,0,56059,0,0,0,0,0,0,{}
10898,1969221512,浔川娅娅,2,4,业余唱歌小狐狸~,0,,24905312,3146,1,0,55972,0,0,0,0,0,0,{}
10899,48964281,黑虎阿符_,2,5,"爱发电主页：https://afdian.net/@ty1104641885
吹逼群:244506338",0,,2173857,752,0,1,716307,0,0,0,0,0,0,{}
10900,333727681,Ieno伊诺_Official,2,5,一位正在修炼的平凡创作者 欢迎合作，请私信,0,10月5日,22857731,11011,0,0,595276,0,0,0,0,0,0,{}
10901,352893121,小劫w,2,4,Arouse所属，是你的超级可爱小男友哦！直播时间为全天大概率不固定可能会直播？……,0,1月1日,24370731,2768,3,0,367547,0,0,0,0,0,0,{}
10902,1453018821,小栗子子Zizi,2,3,"【隶属人间社】百分百可爱兔狲女仆！！！耶咿！
",0,10月1日,25071276,2225,1,0,14680,0,0,0,0,0,0,{}
10903,454086744,叹罪,2,4,这里是个人势vup叹罪，谢谢你们的喜欢！开播通知qun：246667703,0,12月7日,22713186,167,0,0,185,0,0,0,0,0,0,{}
10904,20911834,机器人小福,2,5,,0,1月1日,1499753,74,1,1,39,0,0,0,0,0,0,{}
10905,14091355,#NAME?,2,3,"直播时间随机掉落
录播小号：汣月的蘑菇屋",0,1月1日,22031887,1517,9,0,6059,0,0,0,0,0,0,{}
10906,20631900,Suzukolism,0,6,约稿私信，一只热衷寻找快乐源泉的斜杠少女（并不），微博：树铃子Suzukolism，感谢关注~????,0,6月17日,1258876,142,0,1,60157,0,0,0,0,0,0,{}
10907,291146724,MJ莫语,0,4,这么想火。我就让你火,0,7月16日,22709938,116,0,0,1148,0,0,0,0,0,0,{}
10908,97178222,蚀月欧利卡-Orika-,1,5,"见过七条尾巴的白十字狐吗？

QQ：2089595763，欢迎来van哦～",0,11月11日,22734276,1421,1,0,8916,0,0,0,0,0,0,{}
10909,626996341,弥雨喵,2,4,"不定期跟大家唱歌聊天打游戏的小雨怪~
海外党 12小时时差
直播时间为上课日早上7-11点 周末晚上8-12
粉丝Q群：924833750",0,,22365665,1200,0,1,5723,0,0,0,0,0,0,{}
10910,14072575,贰灵今天吃奶淇琳,2,6,“认知厨不灭！”,0,,1600326,1832,0,0,7174538,0,0,0,0,0,0,{}
10911,1487418004,pearl沛沛,2,3,时常闭店的海产店老板__海产杂货店：群号538344575,0,,24959718,749,12,0,4435,0,0,0,0,0,0,{}
