,mid,realfans,created_at,Time,modelfans,dis_per
3,573930836,69425.0,2022-11-04,3,69451,0.037450486136118115
4,573930836,69637.0,2022-11-05,4,69452,-0.265663368611514
5,573930836,69750.0,2022-11-06,5,69534,-0.3096774193548387
6,573930836,69778.0,2022-11-07,6,69616,-0.23216486571698816
7,573930836,69790.0,2022-11-08,7,69617,-0.24788651669293596
8,573930836,69854.0,2022-11-09,8,69743,-0.15890285452515246
9,573930836,69889.0,2022-11-10,9,69825,-0.09157378128174677
10,573930836,69939.0,2022-11-11,10,69867,-0.1029468536867842
11,573930836,69944.0,2022-11-12,11,70012,0.09722063364977697
12,573930836,69974.0,2022-11-13,12,70076,0.14576842827335867
13,573930836,69954.0,2022-11-14,13,70078,0.17725934185321782
14,573930836,69956.0,2022-11-15,14,70080,0.1772542741151581
15,573930836,69963.0,2022-11-16,15,70082,0.17008990466389376
16,573930836,69967.0,2022-11-17,16,70084,0.16722169022539196
17,573930836,69984.0,2022-11-18,17,70086,0.14574759945130317
18,573930836,70010.0,2022-11-19,18,70088,0.11141265533495215
19,573930836,70027.0,2022-11-20,19,70090,0.08996529909891898
20,573930836,70105.0,2022-11-21,20,70217,0.1597603594608088
21,573930836,70198.0,2022-11-22,21,70363,0.2350494316077381
22,573930836,70289.0,2022-11-23,22,70365,0.10812502667558224
23,573930836,70327.0,2022-11-24,23,70367,0.05687715955465184
24,573930836,70349.0,2022-11-25,24,70369,0.028429686278411918
25,573930836,70363.0,2022-11-26,25,70371,0.011369611869874792
26,573930836,70396.0,2022-11-27,26,70413,0.02414909938064663
27,573930836,70411.0,2022-11-28,27,70415,0.005680930536421866
28,573930836,70439.0,2022-11-29,28,70417,-0.03123269779525547
,mid,realfans,created_at,Time,modelfans,dis_per
0,573930836,68957.0,2022-11-01,0,68957,0.0
1,573930836,69043.0,2022-11-02,1,69162,0.17235635763220022
2,573930836,69361.0,2022-11-03,2,69369,0.011533859085076629
3,573930836,69425.0,2022-11-04,3,69451,0.037450486136118115
4,573930836,69637.0,2022-11-05,4,69452,-0.265663368611514
5,573930836,69750.0,2022-11-06,5,69534,-0.3096774193548387
6,573930836,69778.0,2022-11-07,6,69616,-0.23216486571698816
7,573930836,69790.0,2022-11-08,7,69617,-0.24788651669293596
8,573930836,69854.0,2022-11-09,8,69743,-0.15890285452515246
9,573930836,69889.0,2022-11-10,9,69825,-0.09157378128174677
10,573930836,69939.0,2022-11-11,10,69867,-0.1029468536867842
11,573930836,69944.0,2022-11-12,11,70012,0.09722063364977697
12,573930836,69974.0,2022-11-13,12,70076,0.14576842827335867
13,573930836,69954.0,2022-11-14,13,70078,0.17725934185321782
14,573930836,69956.0,2022-11-15,14,70080,0.1772542741151581
15,573930836,69963.0,2022-11-16,15,70082,0.17008990466389376
16,573930836,69967.0,2022-11-17,16,70084,0.16722169022539196
17,573930836,69984.0,2022-11-18,17,70086,0.14574759945130317
18,573930836,70010.0,2022-11-19,18,70088,0.11141265533495215
19,573930836,70027.0,2022-11-20,19,70090,0.08996529909891898
20,573930836,70105.0,2022-11-21,20,70217,0.1597603594608088
21,573930836,70198.0,2022-11-22,21,70363,0.2350494316077381
22,573930836,70289.0,2022-11-23,22,70365,0.10812502667558224
23,573930836,70327.0,2022-11-24,23,70367,0.05687715955465184
24,573930836,70349.0,2022-11-25,24,70369,0.028429686278411918
25,573930836,70363.0,2022-11-26,25,70371,0.011369611869874792
26,573930836,70396.0,2022-11-27,26,70413,0.02414909938064663
27,573930836,70411.0,2022-11-28,27,70415,0.005680930536421866
28,573930836,70439.0,2022-11-29,28,70417,-0.03123269779525547
